epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.49514,0.95363,1.63613,1.61551,1.23309,0.31845,0.62997,0.3932,0.17886,0.4364,0.49735,0.44989,0.25946,1.57726,0.96207,2.66763,2.16863,0.000661578,0.000661578,0.000661578
2,18.3673,1.03314,1.39024,1.27061,1.27034,0.40627,0.50398,0.35695,0.15353,0.4135,0.47878,0.33106,0.1079,1.95633,2.28239,2.14105,2.1464,0.00128441,0.00128441,0.00128441
3,26.985,1.03938,1.37911,1.13721,1.27653,0.3517,0.54377,0.35131,0.13832,0.40985,0.5858,0.40568,0.17029,2.02696,1.05104,1.96903,2.24031,0.00186325,0.00186325,0.00186325
4,35.5343,1.01334,1.33834,1.02322,1.24869,0.53928,0.61936,0.58942,0.30261,0.59087,0.60911,0.61002,0.28145,1.5275,1.01895,1.55995,1.73822,0.001802,0.001802,0.001802
5,44.0654,0.95256,1.28119,0.96983,1.22597,0.56128,0.6618,0.58048,0.31671,0.54874,0.72944,0.58986,0.29635,1.44474,0.91757,1.52992,1.65007,0.001736,0.001736,0.001736
6,52.6628,0.89551,1.23628,0.8946,1.18705,0.73217,0.66446,0.7517,0.45643,0.76345,0.65061,0.7408,0.41485,1.29832,0.92309,1.29717,1.49644,0.00167,0.00167,0.00167
7,61.3256,0.86451,1.24309,0.86315,1.1753,0.72102,0.71618,0.74497,0.4632,0.74086,0.71883,0.73982,0.42603,1.17269,0.86788,1.19507,1.44299,0.001604,0.001604,0.001604
8,70.077,0.84099,1.22852,0.84374,1.16626,0.68722,0.64689,0.71036,0.4355,0.69309,0.65782,0.70216,0.4042,1.26368,0.97051,1.41415,1.52755,0.001538,0.001538,0.001538
9,78.7131,0.81413,1.20098,0.81801,1.15548,0.79296,0.76393,0.83061,0.56402,0.81334,0.75597,0.81922,0.49604,1.10271,0.83468,1.0565,1.31847,0.001472,0.001472,0.001472
10,87.2422,0.79147,1.18007,0.79134,1.13705,0.77632,0.78912,0.8301,0.59176,0.79074,0.77851,0.82274,0.50474,1.02415,0.82927,1.01708,1.27074,0.001406,0.001406,0.001406
11,95.9801,0.77615,1.16263,0.77008,1.13019,0.79425,0.69626,0.78684,0.54738,0.76455,0.67184,0.74496,0.42498,1.09927,1.14385,1.08552,1.30214,0.00134,0.00134,0.00134
12,104.516,0.76492,1.16301,0.75102,1.11853,0.78972,0.73475,0.80226,0.55213,0.80255,0.74668,0.80244,0.47082,1.05445,0.86757,1.11434,1.28574,0.001274,0.001274,0.001274
13,113.022,0.74498,1.17005,0.7496,1.11289,0.84259,0.77382,0.85392,0.63219,0.84959,0.78659,0.85137,0.52518,0.92678,0.81244,0.92466,1.17706,0.001208,0.001208,0.001208
14,121.54,0.7302,1.14236,0.73187,1.10535,0.80252,0.74801,0.82436,0.58994,0.80461,0.76393,0.8161,0.49746,0.9762,0.85326,0.96357,1.19119,0.001142,0.001142,0.001142
15,130.042,0.71366,1.10549,0.70472,1.1012,0.85657,0.78515,0.86352,0.63845,0.85512,0.78382,0.85671,0.53726,0.92932,0.7835,0.90864,1.18969,0.001076,0.001076,0.001076
16,138.557,0.70325,1.0868,0.69604,1.10191,0.87894,0.76127,0.87214,0.65231,0.86654,0.75778,0.84969,0.53215,0.8843,0.84085,0.8781,1.15683,0.00101,0.00101,0.00101
17,147.04,0.68514,1.09585,0.67293,1.08612,0.83608,0.77719,0.85199,0.64416,0.84464,0.78515,0.85756,0.5282,0.88649,0.79088,0.93475,1.12822,0.000944,0.000944,0.000944
